_id,Kecamatan,Baik,Sedang,Rusak,Rusak Berat
1,Moyudan,24.5,4.70000000000000017763568394002504646778106689453125,0.5500000000000000444089209850062616169452667236328125,4.4000000000000003552713678800500929355621337890625
2,Minggir,17.14999999999999857891452847979962825775146484375,1.600000000000000088817841970012523233890533447265625,2,4.4000000000000003552713678800500929355621337890625
3,Seyegan,23.39999999999999857891452847979962825775146484375,3.899999999999999911182158029987476766109466552734375,0.84999999999999997779553950749686919152736663818359375,1.8000000000000000444089209850062616169452667236328125
4,Godean,26.449999999999999289457264239899814128875732421875,5.25,1.1999999999999999555910790149937383830547332763671875,1.1999999999999999555910790149937383830547332763671875
5,Gamping,25.75,8.300000000000000710542735760100185871124267578125,1.1999999999999999555910790149937383830547332763671875,2.20000000000000017763568394002504646778106689453125
6,Mlati,21.949999999999999289457264239899814128875732421875,11.800000000000000710542735760100185871124267578125,0.1000000000000000055511151231257827021181583404541015625,1.3000000000000000444089209850062616169452667236328125
7,Depok,28.050000000000000710542735760100185871124267578125,21.25,3.399999999999999911182158029987476766109466552734375,3.79999999999999982236431605997495353221893310546875
8,Berbah,19.14999999999999857891452847979962825775146484375,6.3499999999999996447286321199499070644378662109375,2.850000000000000088817841970012523233890533447265625,0.59999999999999997779553950749686919152736663818359375
9,Prambanan,24.199999999999999289457264239899814128875732421875,16.199999999999999289457264239899814128875732421875,8.5,6.79999999999999982236431605997495353221893310546875
10,Kalasan,25.800000000000000710542735760100185871124267578125,8,9.050000000000000710542735760100185871124267578125,0.1000000000000000055511151231257827021181583404541015625
11,Ngemplak,48.0499999999999971578290569595992565155029296875,10.5,2.850000000000000088817841970012523233890533447265625,2
12,Ngaglik,27.85000000000000142108547152020037174224853515625,10.699999999999999289457264239899814128875732421875,0.6999999999999999555910790149937383830547332763671875,1.3000000000000000444089209850062616169452667236328125
13,Sleman,52.85000000000000142108547152020037174224853515625,11.5,1.5,1.100000000000000088817841970012523233890533447265625
14,Tempel,23.699999999999999289457264239899814128875732421875,7.79999999999999982236431605997495353221893310546875,0,0.200000000000000011102230246251565404236316680908203125
15,Turi,35.39999999999999857891452847979962825775146484375,7.4000000000000003552713678800500929355621337890625,0.40000000000000002220446049250313080847263336181640625,0.90000000000000002220446049250313080847263336181640625
16,Pakem,24.14999999999999857891452847979962825775146484375,5.70000000000000017763568394002504646778106689453125,2.29999999999999982236431605997495353221893310546875,5.20000000000000017763568394002504646778106689453125
17,Cangkringan,18.699999999999999289457264239899814128875732421875,8,0.90000000000000002220446049250313080847263336181640625,7.79999999999999982236431605997495353221893310546875
